City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
hay river,75,CA,1557093600,59,60.82,-115.79,33.8,12.75
cayenne,100,GF,1557095400,88,4.94,-52.33,78.8,4.7
vaini,0,IN,1557098187,84,15.34,74.49,74.48,2.15
oranjemund,100,ZA,1557098187,84,-28.55,16.43,60.08,2.93
faanui,6,PF,1557098187,75,-16.48,-151.75,82.76,15.84
albany,90,US,1557098184,81,42.65,-73.75,57.2,3.36
magadi,40,IN,1557095400,69,12.96,77.22,77.0,6.93
at-bashi,1,KG,1557098189,24,41.17,75.81,30.92,4.7
ushuaia,20,AR,1557093600,89,-54.81,-68.31,42.8,5.82
boa vista,40,BR,1557097200,70,2.82,-60.67,84.2,8.05
saskylakh,98,RU,1557098191,92,71.97,114.09,15.44,4.65
jamestown,0,AU,1557097927,42,-33.21,138.6,58.46,5.14
barrow,21,AR,1557098191,66,-38.31,-60.23,54.86,7.07
cape town,0,ZA,1557097969,82,-33.93,18.42,63.0,3.36
mehamn,90,NO,1557093000,92,71.03,27.85,24.8,5.82
new norfolk,75,AU,1557098174,57,-42.78,147.06,52.0,13.87
kununurra,19,AU,1557095400,35,-15.77,128.74,71.6,8.05
perene,9,PE,1557098193,51,-10.95,-75.23,62.6,4.85
pevek,1,RU,1557098193,87,69.7,170.27,20.48,7.11
thompson,40,CA,1557093600,38,55.74,-97.86,39.2,13.87
cabo san lucas,75,MX,1557097273,30,22.89,-109.91,88.0,17.22
airai,20,TL,1557098193,66,-8.93,125.41,80.96,6.67
teresopolis,20,BR,1557093600,78,-22.41,-42.97,82.4,8.05
kahului,40,US,1557098117,41,20.89,-156.47,80.6,11.41
castro,90,CL,1557093600,93,-42.48,-73.76,50.0,2.24
hermanus,17,ZA,1557098176,82,-34.42,19.24,63.0,11.01
winfield,1,US,1557098057,40,41.41,-87.28,75.0,9.17
ankang,100,CN,1557098196,90,32.73,108.99,56.48,7.38
eureka,1,US,1557098020,76,40.8,-124.16,59.0,16.11
isangel,75,VU,1557093600,74,-19.55,169.27,80.6,14.99
mataura,100,NZ,1557097806,98,-46.19,168.86,53.01,2.51
kupang,18,ID,1557098198,73,-10.16,123.6,82.94,14.61
zeya,76,RU,1557098198,48,53.74,127.27,45.68,10.31
longyearbyen,75,NO,1557096600,79,78.22,15.63,21.2,8.05
livingston,1,US,1557098176,64,32.58,-88.19,75.2,5.82
georgetown,75,GY,1557093600,94,6.8,-58.16,78.8,9.17
carnarvon,100,ZA,1557098200,18,-30.97,22.13,65.12,5.95
coihaique,75,CL,1557093600,66,-45.58,-72.07,50.0,3.94
puerto ayora,20,EC,1557097310,78,-0.74,-90.35,82.4,17.22
arraial do cabo,0,BR,1557093600,78,-22.97,-42.02,78.8,9.17
esperance,20,TT,1557098199,74,10.24,-61.45,82.4,14.99
rikitea,3,PF,1557098202,80,-23.12,-134.97,77.36,19.04
busselton,3,AU,1557098183,81,-33.64,115.35,52.0,24.85
port alfred,100,ZA,1557097955,94,-33.59,26.89,64.99,9.55
vanavara,99,RU,1557098203,87,60.35,102.28,47.12,12.01
yarim,0,YE,1557098203,52,14.3,44.38,71.06,4.59
hofn,99,IS,1557098203,94,64.25,-15.21,24.26,5.14
tiksi,48,RU,1557098204,88,71.64,128.87,25.88,7.49
laguna,5,MX,1557092400,15,27.52,-110.01,91.4,13.87
hualmay,62,PE,1557098205,92,-11.1,-77.61,67.1,13.78
nanortalik,62,GL,1557098205,79,60.14,-45.24,39.02,5.77
kaitangata,98,NZ,1557098151,73,-46.28,169.85,57.0,1.99
qaanaaq,0,GL,1557098205,71,77.48,-69.36,25.34,3.38
camacha,20,PT,1557095400,67,33.08,-16.33,64.4,1.63
saint george,20,GR,1557093000,87,39.45,22.34,59.0,3.65
harper,1,US,1557098174,54,30.3,-99.24,82.4,10.29
kapaa,1,US,1557098187,44,22.08,-159.32,77.0,21.92
lima,0,PE,1557097932,78,-12.06,-77.04,71.6,4.7
karratha,0,AU,1557098207,23,-20.74,116.85,81.32,20.38
salalah,20,OM,1557093000,74,17.01,54.1,82.4,3.36
rawson,0,AR,1557098207,50,-43.3,-65.11,54.32,6.69
point pedro,31,LK,1557098208,82,9.82,80.23,84.74,17.58
orizona,100,BR,1557098208,89,-17.03,-48.3,69.26,6.08
vao,0,EE,1557098208,80,59.1,26.19,33.98,3.53
westview,1,ZW,1557098209,52,-18.33,29.9,61.52,4.54
tsogni,99,GA,1557098209,88,-2.79,10.1,81.14,7.16
amberley,100,NZ,1557097985,93,-43.15,172.73,59.0,8.05
puerto quijarro,0,BO,1557093600,74,-19.0,-57.72,86.0,6.93
black river,40,JM,1557098152,66,18.03,-77.85,87.8,16.11
lebu,33,ET,1557098210,54,8.96,38.73,57.92,2.8
paamiut,84,GL,1557098211,89,61.99,-49.67,37.4,6.98
lakes entrance,98,AU,1557098134,90,-37.88,147.99,55.0,1.01
gatton,0,AU,1557098145,77,-27.56,152.28,66.99,4.7
ekhabi,97,RU,1557098211,77,53.51,142.97,37.58,14.79
punta arenas,40,CL,1557097989,87,-53.16,-70.91,42.8,9.17
copiapo,75,CL,1557095520,87,-27.37,-70.33,57.2,8.05
mogadishu,43,SO,1557098212,79,2.04,45.34,81.32,7.31
yellowknife,75,CA,1557097967,47,62.45,-114.38,36.0,6.93
harbour breton,2,CA,1557098213,82,47.48,-55.8,38.3,11.68
atkarsk,100,RU,1557098213,89,51.88,45.01,54.32,3.09
ostrovnoy,85,RU,1557098214,73,68.05,39.51,23.72,9.06
hithadhoo,0,MV,1557098214,71,-0.6,73.08,83.84,4.9
